ob_code,obj_id,ra,dec,exptime,priority,resolution,reference_arm,g_ps1,g_ps1_error,r_ps1,r_ps1_error,i_ps1,i_ps1_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error,g_sdss,r_sdss,i_sdss,z_sdss
perseus_031816.0+411639_M_1h,157530495666523582,49.56671155,41.27751316,900.0,9,M,m,58392.87890625,3427678027776.0,129933.1640625,3466410590208.0,160605.375,3423891619840.0,167957.640625,3514633289728.0,210300.5,3287910711296.0,68801.8046875,151914.828125,228034.375,300054.125
perseus_031816.5+414405_M_1h,158080495682392681,49.56855383,41.73489911,900.0,4,M,m,2307598.25,3586575826944.0,5023423.5,3582614044672.0,8504326.0,2691286958080.0,12105975.0,3600476798976.0,14537173.0,3583274123264.0,3000544.75,7776776.0,12519877.0,17881338.0
perseus_031816.8+420317_L_1h,158460495700166411,49.5698544,42.05484402,900.0,5,L,b,38025.91015625,3318333308928.0,61938.4453125,3547153563648.0,90123.953125,3534109802496.0,92503.8671875,3538669535232.0,140346.046875,3193008029696.0,59429.1875,101578.140625,150799.40625,193196.984375
perseus_031817.8+413011_M_1h,157800495740774221,49.57415603,41.50308214,900.0,3,M,m,181635.0625,3619095314432.0,404650.46875,3601140023296.0,566970.0625,3446672457728.0,622701.125,3388129673216.0,581353.3125,3490760097792.0,247513.890625,567544.9375,854279.8125,1154516.0
perseus_031818.2+412912_M_1h,157780495756224456,49.57559361,41.48652032,900.0,6,M,m,219058.46875,3594843586560.0,274207.84375,3515280785408.0,306760.75,3519816400896.0,358723.6875,3587566993408.0,286866.46875,3554348367872.0,260855.5,361076.8125,436113.875,485288.40625
perseus_031818.6+414845_L_1h,158170495773955595,49.577457,41.81243943,900.0,9,L,n,177549.765625,3526306037760.0,151175.0625,3404708970496.0,273250.03125,3060835811328.0,572585.375,3625767927808.0,835448.9375,3496229994496.0,21086.279296875,48752.828125,81658.1953125,73113.890625
perseus_031818.9+412809_M_1h,157760495787753757,49.57879782,41.46926965,900.0,2,M,m,1576304.125,3601140023296.0,3425784.75,3620762288128.0,5190863.5,3608776802304.0,6703780.0,3610106396672.0,8658447.0,3586245525504.0,1465547.75,3554675.0,5823709.5,8309982.5
perseus_031819.5+415121_M_1h,158220495813597774,49.5813304,41.85594883,900.0,0,M,n,634863.125,3338873864192.0,2116995.25,3491403399168.0,2662684.75,3337951379456.0,4434454.5,3553693794304.0,5409038.0,3607779868672.0,995404.75,2450190.25,3746277.0,5311287.0
perseus_031821.0+412749_M_1h,157750495872766844,49.58728824,41.46350658,900.0,2,M,m,1995079.5,3559590199296.0,2308873.0,3130689585152.0,4604685.5,3505903894528.0,6962411.5,3393438875648.0,13281284.0,3595174674432.0,2350713.5,5770322.0,9497289.0,12156256.0
perseus_031822.5+412435_M_1h,157690495937342345,49.59374644,41.40975402,900.0,2,M,m,5252425.0,3613100343296.0,10823308.0,3609109200896.0,16521124.0,3565496565760.0,18254072.0,3383140286464.0,30554828.0,3617762312192.0,5390138.0,13601908.0,22202396.0,33728728.0
perseus_031823.0+411608_L_1h,157520495957733320,49.59577191,41.26889729,900.0,2,L,n,890512.1875,3542582820864.0,2027123.0,3604790378496.0,3324451.5,3599482224640.0,4259511.5,3573715828736.0,3902650.75,3434314203136.0,1093453.5,2551525.25,3890449.25,5475201.0
perseus_031823.1+411151_M_1h,157430495960517591,49.59609367,41.19744985,900.0,5,M,n,56702.17578125,3401261514752.0,80924.4375,3445085700096.0,141997.25,3436845465600.0,128635.1953125,3442865340416.0,128611.4609375,3583604162560.0,94885.453125,198975.703125,289734.0,347375.90625
perseus_031823.2+410544_L_1h,157310495963205270,49.59636396,41.09550094,900.0,3,L,b,147353.453125,3390626856960.0,398327.0625,3583274123264.0,626498.25,3554348367872.0,793742.6875,3578656456704.0,847071.25,3520464945152.0,176522.28125,444631.09375,730466.5,1033712.0625
perseus_031823.8+413839_L_1h,157970495992563826,49.59918947,41.64423306,900.0,9,L,r,194679.21875,3565496565760.0,450235.8125,3519492128768.0,633636.75,3484335996928.0,784584.1875,3552057753600.0,821863.625,3511397646336.0,212031.25,498425.15625,801678.6875,1011113.5
perseus_031825.3+414931_M_1h,158190496053010833,49.60528854,41.82515703,900.0,5,M,m,44491.7734375,3200073859072.0,75189.9453125,3449530613760.0,123936.6640625,3397191467008.0,142377.078125,3452709371904.0,179522.9375,3411614892032.0,66803.6328125,147366.875,214585.4375,302551.78125
perseus_031825.8+404514_L_1h,156900496073785529,49.60756145,40.75406246,900.0,5,L,r,nan,nan,62195.63671875,3446355001344.0,127315.1015625,3261069262848.0,102830.1171875,3540299546624.0,nan,nan,93067.84375,139444.109375,180800.578125,196064.71875
perseus_031826.4+414907_M_1h,158180496100243094,49.60995441,41.81872193,900.0,9,M,b,72684.15625,3456527499264.0,171901.671875,3507518701568.0,279563.09375,3520464945152.0,350945.75,3471203106816.0,304621.0625,3433365241856.0,301439.34375,806864.0,1221236.25,1250834.875
perseus_031826.5+405228_M_1h,157040496100479840,49.61020874,40.87436915,900.0,5,M,m,138611.734375,3542582820864.0,189531.09375,2988133580800.0,332108.40625,3502999076864.0,334102.78125,3577997164544.0,334071.5625,3339488854016.0,234638.65625,387257.5625,512389.28125,618300.75
perseus_031827.7+405826_M_1h,157160496153819272,49.61537661,40.97382637,900.0,5,M,m,642865.125,3510104227840.0,1520267.875,3542582820864.0,2293189.0,3586575826944.0,2622526.25,3556313399296.0,3224334.5,3527280689152.0,843335.125,2028616.75,3153551.0,4479194.0
perseus_031830.6+421531_L_1h,158710496274201146,49.62740542,42.25874507,900.0,3,L,n,278919.875,3577667911680.0,621784.9375,3566153236480.0,945018.0,3554675785728.0,1198063.5,3569768202240.0,1270340.25,3541603975168.0,377745.6875,872569.0,1339058.75,1831470.0
perseus_031830.8+411347_M_1h,157470496283306306,49.62831043,41.22972831,900.0,3,M,m,150827.21875,3499129307136.0,377676.84375,3454299799552.0,730937.5,3598487650304.0,876032.4375,3548787507200.0,836218.8125,3592526757888.0,222228.328125,709250.4375,1210039.375,1823055.75
perseus_031831.7+411627_L_1h,157520496319669500,49.63196154,41.27404954,900.0,1,L,b,1319229.625,3524682579968.0,2098553.25,3293669490688.0,4249323.5,3444451049472.0,4778812.0,3540625653760.0,6550583.0,3601471897600.0,1605461.25,3951845.0,6222999.5,8896102.0
perseus_031832.0+422726_M_1h,158940496334559393,49.63334923,42.45740704,900.0,6,M,n,46820.90234375,3441597087744.0,65180.828125,3361088995328.0,116734.6484375,3500096618496.0,109526.5390625,3484335996928.0,102159.75,3290940309504.0,71779.4296875,115451.6015625,159220.78125,185353.234375
perseus_031833.9+403636_M_1h,156730496410502700,49.64111102,40.60999979,900.0,6,M,m,110672.5234375,3394689302528.0,214328.5625,3499451744256.0,240990.5625,3437162135552.0,208391.34375,3552384909312.0,164074.0,3140219568128.0,159367.6875,286022.0625,375664.4375,460892.9375
perseus_031835.1+415742_L_1h,158350496463084703,49.64633631,41.96159455,900.0,3,L,r,193250.21875,3551076286464.0,401753.46875,3544867405824.0,589223.375,3565496565760.0,721704.5,3585254621184.0,666622.9375,3534109802496.0,221003.9375,485735.65625,725772.1875,934974.9375
perseus_031835.4+414001_M_1h,158000496474781074,49.64760492,41.66703313,900.0,2,M,m,3419794.25,3623097466880.0,6407369.5,3613433004032.0,9066507.0,3592195670016.0,11660578.0,3622096601088.0,13768285.0,3621762891776.0,2951208.25,6103793.0,8945408.0,10665960.0
perseus_031835.6+411339_M_1h,157470496480163698,49.64797562,41.22751607,900.0,7,M,b,100396.7265625,3499129307136.0,nan,nan,120548.0390625,3571083640832.0,100962.3671875,3336721924096.0,167263.125,3414758522880.0,103657.2734375,165500.640625,209121.828125,191601.859375
perseus_031836.0+412838_L_1h,157770496497323297,49.64974881,41.47720934,900.0,3,L,r,3106275.75,3595506024448.0,6652732.0,3596499550208.0,10885279.0,3589880676352.0,14546545.0,3602798870528.0,16669405.0,3558934577152.0,3025518.0,8046373.0,12846949.0,15079940.0
perseus_031836.9+410109_L_1h,157220496536463702,49.6536465,41.0192104,900.0,0,L,r,1144354.125,3577667911680.0,2722450.25,3604126367744.0,3805393.5,3495264256000.0,4757290.0,3613100343296.0,5175111.5,3481769607168.0,2263603.0,5062909.0,7592762.0,10242356.0
perseus_031838.9+414008_L_1h,158000496621553396,49.66216705,41.66894081,900.0,2,L,r,1600441.875,3588227858432.0,3369456.25,3605454389248.0,5575448.0,3603130744832.0,7191172.0,3606118662144.0,7362745.0,3608112005120.0,1503834.0,3674514.25,5759700.5,8241380.5
perseus_031839.3+415950_M_1h,158390496637717183,49.66378958,41.99709939,900.0,3,M,b,1091238.25,3554348367872.0,2546127.0,3588888723456.0,4033476.75,3558606897152.0,5275207.5,3621095735296.0,5881388.0,3609773998080.0,1303767.375,3093142.25,4852884.5,6729768.5
perseus_031840.7+422036_M_1h,158810496696912622,49.66968463,42.34344779,900.0,7,M,m,82565.78125,3285791539200.0,80909.6015625,3405963591680.0,70119.625,3430520455168.0,80574.859375,3419164639232.0,37767.6875,2975500337152.0,93929.03125,127761.3828125,120337.2421875,62921.64453125
perseus_031843.1+421802_L_1h,158760496794851497,49.67943213,42.30069616,900.0,5,L,r,4370788.0,3530205691904.0,11394094.0,3562542202880.0,15495298.0,3597162250240.0,19451812.0,3571412631552.0,23420702.0,3500741230592.0,3627437.5,10027664.0,16113880.0,25374644.0
perseus_031843.5+410421_L_1h,157280496811757656,49.6812249,41.0724943,900.0,4,L,b,3177166.5,3569110482944.0,6724185.0,3582614044672.0,10065599.0,3600808411136.0,14174895.0,3609773998080.0,18834760.0,3556968235008.0,3844145.75,9709567.0,16010325.0,22698650.0
perseus_031844.8+413041_L_1h,157810496867374355,49.68674831,41.51143391,900.0,3,L,r,618414.75,3569768202240.0,1040686.0625,3170735489024.0,2132061.75,3444768243712.0,3061399.75,3592526757888.0,2690789.5,3454617780224.0,559241.8125,1370250.25,2179716.25,2870779.0
perseus_031844.8+412803_M_1h,157760496863101615,49.68630204,41.46746225,900.0,1,M,n,3693176.5,3350580166656.0,nan,nan,nan,nan,16341043.0,3329967521792.0,15180279.0,3368837185536.0,4698941.0,23528824.0,38512344.0,40105140.0
perseus_031845.2+412919_M_1h,157780496882826691,49.68847424,41.48852185,900.0,5,M,m,nan,nan,303389.0625,3630780645376.0,6240796.0,3446989914112.0,9138605.0,3621429182464.0,nan,nan,4051354.75,7516229.0,10924454.0,13601908.0
perseus_031845.9+421837_M_1h,158770496909893077,49.69098312,42.31035026,900.0,2,M,m,713378.0,3593519497216.0,1563002.875,3556313399296.0,2387590.25,3598487650304.0,3123776.75,3593519497216.0,3424521.25,3540625653760.0,1113780.875,2635119.25,4119078.25,5623414.0
perseus_031846.2+412418_L_1h,157680496925536550,49.69254849,41.4049168,900.0,5,L,n,72177.1875,3357066919936.0,123560.5703125,3467688017920.0,183806.140625,3379714326528.0,188364.984375,3515928281088.0,223357.234375,3356757852160.0,100925.34375,225735.375,322403.6875,420339.375
perseus_031846.2+421732_L_1h,158750496923461442,49.69234052,42.29230432,900.0,5,L,n,1033046.0625,3550095343616.0,2102229.25,3560246083584.0,3168109.75,3518195826688.0,3898701.75,3603794231296.0,4427103.0,3538669535232.0,1250834.875,2676701.75,3908409.75,5257750.5
perseus_031846.4+410152_L_1h,157230496931258023,49.69317659,41.03112308,900.0,5,L,r,768210.0625,3547153563648.0,1410068.0,3547480457216.0,2254446.0,3546500300800.0,2226794.5,3501386104832.0,1199608.875,3452709371904.0,1111732.0,2106686.5,2881373.5,3302173.25
perseus_031847.3+415850_L_1h,158370496969977383,49.6970033,41.98060378,900.0,5,L,n,593799.4375,3449848332288.0,1533909.25,3516576038912.0,1941600.75,3372562513920.0,3243693.5,3575691083776.0,2985930.0,3548787507200.0,1449439.625,3296098.5,4938553.5,6899212.5
perseus_031847.4+412542_M_1h,157710496974904683,49.6974885,41.42836481,900.0,2,M,n,1249681.75,3612767420416.0,2599200.75,3601471897600.0,4405956.0,3600808411136.0,5572884.0,3606782935040.0,6110545.0,3599482224640.0,1661115.875,3966429.0,6327031.0,8733731.0
perseus_031847.6+411130_M_1h,157430496984710516,49.69830736,41.19155675,900.0,9,M,n,83768.2734375,3433997795328.0,169652.390625,3489153155072.0,372974.9375,3480486936576.0,331253.0,3585584922624.0,279872.0625,3506226855936.0,201186.78125,418793.84375,611504.875,785597.0625
